"region","lender","sector","year","total_amount_usd","number_transactions"
"Eastern Africa","AFDB","Communication Services",2014,150000,1
"Eastern Africa","AFDB","Communication Services",2018,0,1
"Eastern Africa","AFDB","Consumer Discretionary",2010,13061282.6153846,1
"Eastern Africa","AFDB","Consumer Discretionary",2011,42135988.5873016,2
"Eastern Africa","AFDB","Consumer Discretionary",2012,185084659.488636,3
"Eastern Africa","AFDB","Consumer Discretionary",2014,10076039.4153846,1
"Eastern Africa","AFDB","Consumer Discretionary",2015,0,2
"Eastern Africa","AFDB","Consumer Discretionary",2016,1634811.01351351,1
"Eastern Africa","AFDB","Consumer Discretionary",2017,995947.486486487,1
"Eastern Africa","AFDB","Consumer Discretionary",2018,0,1
"Eastern Africa","AFDB","Consumer Discretionary",2019,0,2
"Eastern Africa","AFDB","Consumer Discretionary",2022,67962441.314554,2
"Eastern Africa","AFDB","Consumer Discretionary",2023,40893786.5263158,3
"Eastern Africa","AFDB","Consumer Staples",2010,1825334.82963801,3
"Eastern Africa","AFDB","Consumer Staples",2011,170189907.510633,7
"Eastern Africa","AFDB","Consumer Staples",2012,26019742.7076923,2
"Eastern Africa","AFDB","Consumer Staples",2013,98983465.4870786,7
"Eastern Africa","AFDB","Consumer Staples",2014,112629620.761748,5
"Eastern Africa","AFDB","Consumer Staples",2015,74192968.978198,7
"Eastern Africa","AFDB","Consumer Staples",2016,115124349.543185,11
"Eastern Africa","AFDB","Consumer Staples",2017,46952155.3661972,6
"Eastern Africa","AFDB","Consumer Staples",2018,14003968.2539683,9
"Eastern Africa","AFDB","Consumer Staples",2019,110807940.583333,4
"Eastern Africa","AFDB","Consumer Staples",2020,64780374.4696002,4
"Eastern Africa","AFDB","Consumer Staples",2021,149303371.645272,7
"Eastern Africa","AFDB","Consumer Staples",2022,306769593.45853,21
"Eastern Africa","AFDB","Consumer Staples",2023,56668020.8046847,4
"Eastern Africa","AFDB","Energy",2019,411728837.041096,2
"Eastern Africa","AFDB","Energy",2020,417688960.402778,1
"Eastern Africa","AFDB","Financials",2010,13200971.59375,1
"Eastern Africa","AFDB","Financials",2011,15015392.5279051,4
"Eastern Africa","AFDB","Financials",2012,77977836.8282051,5
"Eastern Africa","AFDB","Financials",2013,164638141.082142,4
"Eastern Africa","AFDB","Financials",2014,173018425.075368,2
"Eastern Africa","AFDB","Financials",2015,7724404.96713615,4
"Eastern Africa","AFDB","Financials",2016,289513567.357687,6
"Eastern Africa","AFDB","Financials",2017,233407218.482531,7
"Eastern Africa","AFDB","Financials",2018,233129470.364734,4
"Eastern Africa","AFDB","Financials",2019,112598149.482686,8
"Eastern Africa","AFDB","Financials",2020,1002318817.98995,18
"Eastern Africa","AFDB","Financials",2021,137958026.124748,3
"Eastern Africa","AFDB","Financials",2023,438305857.128649,10
"Eastern Africa","AFDB","Financials",2024,142166425.491579,4
"Eastern Africa","AFDB","Health Care",2010,1002856.13846154,1
"Eastern Africa","AFDB","Health Care",2011,90322580.6451613,1
"Eastern Africa","AFDB","Health Care",2012,1002856.13846154,1
"Eastern Africa","AFDB","Health Care",2014,1050587.79710145,1
"Eastern Africa","AFDB","Health Care",2016,0,1
"Eastern Africa","AFDB","Health Care",2020,38992057.3670333,3
"Eastern Africa","AFDB","Health Care",2022,999028.44,1
"Eastern Africa","AFDB","Industrials",2010,219542628.5418,4
"Eastern Africa","AFDB","Industrials",2011,338217316.846435,12
"Eastern Africa","AFDB","Industrials",2012,373302536.627273,6
"Eastern Africa","AFDB","Industrials",2013,652410917.117451,15
"Eastern Africa","AFDB","Industrials",2014,218733612.054467,4
"Eastern Africa","AFDB","Industrials",2015,4271411.38654147,8
"Eastern Africa","AFDB","Industrials",2016,312331475.058559,8
"Eastern Africa","AFDB","Industrials",2017,190358481.07967,8
"Eastern Africa","AFDB","Industrials",2018,2427204.49801587,6
"Eastern Africa","AFDB","Industrials",2019,262581170.570015,14
"Eastern Africa","AFDB","Industrials",2020,88135697.1032711,7
"Eastern Africa","AFDB","Industrials",2021,610234219.634205,7
"Eastern Africa","AFDB","Industrials",2022,738675975.623709,13
"Eastern Africa","AFDB","Industrials",2023,283760999.306629,6
"Eastern Africa","AFDB","Industrials",2024,80635813.3866667,2
"Eastern Africa","AFDB","Materials",2010,345681.46969697,1
"Eastern Africa","AFDB","Public",2010,129423423.618304,11
"Eastern Africa","AFDB","Public",2011,324729251.7028,11
"Eastern Africa","AFDB","Public",2012,102071925.281181,15
"Eastern Africa","AFDB","Public",2013,206039871.26739,22
"Eastern Africa","AFDB","Public",2014,155899470.035347,10
"Eastern Africa","AFDB","Public",2015,281596140.569249,5
"Eastern Africa","AFDB","Public",2016,8837899.543379,3
"Eastern Africa","AFDB","Public",2017,86142395.130614,6
"Eastern Africa","AFDB","Public",2018,1007489.88732394,1
"Eastern Africa","AFDB","Public",2019,0,3
"Eastern Africa","AFDB","Public",2021,112206425.006532,4
"Eastern Africa","AFDB","Public",2022,19927442.8274428,5
"Eastern Africa","AFDB","Public",2023,110397969.062703,3
"Eastern Africa","AFDB","Utilities",2010,729050666.968055,9
"Eastern Africa","AFDB","Utilities",2011,332784459.193246,9
"Eastern Africa","AFDB","Utilities",2012,374153654.117716,7
"Eastern Africa","AFDB","Utilities",2013,476504815.650297,17
"Eastern Africa","AFDB","Utilities",2014,513120738.495902,16
"Eastern Africa","AFDB","Utilities",2015,123635656.816901,17
"Eastern Africa","AFDB","Utilities",2016,374174632.337859,16
"Eastern Africa","AFDB","Utilities",2017,143452819.251978,11
"Eastern Africa","AFDB","Utilities",2018,118058581.548223,15
"Eastern Africa","AFDB","Utilities",2019,143748491.277778,10
"Eastern Africa","AFDB","Utilities",2020,317356239.468558,8
"Eastern Africa","AFDB","Utilities",2021,377491717.432292,12
"Eastern Africa","AFDB","Utilities",2022,563618600.071146,10
"Eastern Africa","AFDB","Utilities",2023,1172946343.24485,10
"Eastern Africa","AFDB","Utilities",2024,21874806.1052632,1
"Eastern Africa","DFC","Communication Services",2016,4100000,1
"Eastern Africa","DFC","Consumer Discretionary",2020,5e+07,1
"Eastern Africa","DFC","Consumer Discretionary",2021,15300000,2
"Eastern Africa","DFC","Consumer Discretionary",2022,975000,1
"Eastern Africa","DFC","Consumer Discretionary",2023,2e+07,2
"Eastern Africa","DFC","Consumer Discretionary",2024,1640000,1
"Eastern Africa","DFC","Consumer Staples",2012,2700000,3
"Eastern Africa","DFC","Consumer Staples",2013,5e+06,1
"Eastern Africa","DFC","Consumer Staples",2018,5e+06,1
"Eastern Africa","DFC","Consumer Staples",2020,8146864,2
"Eastern Africa","DFC","Consumer Staples",2021,60500000,3
"Eastern Africa","DFC","Consumer Staples",2022,31418657,5
"Eastern Africa","DFC","Consumer Staples",2023,3500000,2
"Eastern Africa","DFC","Consumer Staples",2024,10500000,2
"Eastern Africa","DFC","Energy",2022,1.5e+09,1
"Eastern Africa","DFC","Financials",2012,16326,1
"Eastern Africa","DFC","Financials",2015,3659502,3
"Eastern Africa","DFC","Financials",2016,12652312,7
"Eastern Africa","DFC","Financials",2017,5379183,4
"Eastern Africa","DFC","Financials",2018,25862230,5
"Eastern Africa","DFC","Financials",2019,21687576,5
"Eastern Africa","DFC","Financials",2021,77616899,6
"Eastern Africa","DFC","Financials",2022,174738447,6
"Eastern Africa","DFC","Financials",2023,16800000,3
"Eastern Africa","DFC","Financials",2024,5500000,2
"Eastern Africa","DFC","Health Care",2012,3723708,1
"Eastern Africa","DFC","Health Care",2019,3665443,1
"Eastern Africa","DFC","Health Care",2023,2.8e+07,3
"Eastern Africa","DFC","Industrials",2011,3.1e+08,1
"Eastern Africa","DFC","Industrials",2017,41325000,3
"Eastern Africa","DFC","Industrials",2021,2282104,2
"Eastern Africa","DFC","Industrials",2022,2.62e+08,7
"Eastern Africa","DFC","Industrials",2023,6300000,1
"Eastern Africa","DFC","Information Technology",2022,5e+06,1
"Eastern Africa","DFC","Materials",2020,33146864,2
"Eastern Africa","DFC","Materials",2023,1.8e+08,5
"Eastern Africa","DFC","Real Estate",2024,17100000,1
"Eastern Africa","DFC","Utilities",2015,235028171,2
"Eastern Africa","DFC","Utilities",2016,13650000,1
"Eastern Africa","DFC","Utilities",2017,32290000,2
"Eastern Africa","DFC","Utilities",2018,6e+07,2
"Eastern Africa","DFC","Utilities",2019,54500000,3
"Eastern Africa","DFC","Utilities",2020,232912231,4
"Eastern Africa","DFC","Utilities",2022,4.5e+07,2
"Eastern Africa","EIB","Communication Services",2011,28863744.9275362,3
"Eastern Africa","EIB","Communication Services",2018,42682926.8292683,1
"Eastern Africa","EIB","Consumer Discretionary",2012,9756097.56097561,1
"Eastern Africa","EIB","Consumer Staples",2013,5921052.63157895,1
"Eastern Africa","EIB","Consumer Staples",2015,9411764.70588235,1
"Eastern Africa","EIB","Consumer Staples",2020,30487804.8780488,1
"Eastern Africa","EIB","Financials",2010,133712660.02845,3
"Eastern Africa","EIB","Financials",2011,91719361.2698413,9
"Eastern Africa","EIB","Financials",2012,12658227.8481013,2
"Eastern Africa","EIB","Financials",2013,81981981.981982,5
"Eastern Africa","EIB","Financials",2014,93493150.6849315,2
"Eastern Africa","EIB","Financials",2015,262770491.157588,6
"Eastern Africa","EIB","Financials",2016,202328014.209397,7
"Eastern Africa","EIB","Financials",2017,57357445.9482623,4
"Eastern Africa","EIB","Financials",2018,46511627.9069767,2
"Eastern Africa","EIB","Financials",2021,5952380.95238095,1
"Eastern Africa","EIB","Financials",2022,3.5e+08,1
"Eastern Africa","EIB","Financials",2023,273551656.681281,10
"Eastern Africa","EIB","Industrials",2010,202531645.56962,2
"Eastern Africa","EIB","Industrials",2011,147817460.31746,2
"Eastern Africa","EIB","Industrials",2014,53979538.7549853,2
